Tweeter,Tweet ID,Tweet Time,Tweet Text,Topics,
JoeBiden,1339006577416736768,2020-12-16 0:37:00,"Mayor @PeteButtigieg is a leader, patriot, and problem-solver. He speaks to the best of who we are as a nation.

I am nominating him for Secretary of Transportation because he's equipped to take on the challenges at the intersection of jobs, infrastructure, equity, and climate.",""Nomination" "Presidential Cabinet" "Acknowledgement"",
senatemajldr,1333909118269198344,2020-12-01 23:01:31,Attorney General Barr was absolutely right to appoint John Durham to be a Special Counsel on this matter. The nation deserves to know the truth about the egregious abuses of power that took place in 2016 and deserves that justice be done to anyone who broke the law. https://t.co/ehCHSWacFk,""Appointment"",
JoeBiden,1340427943051284480,2020-12-19 22:45:00,"On day one, my administration will rejoin the Paris Agreement and put America back in the business of leading the world on climate change.",""Paris Agreement" "Climate Change"",
senatemajldr,1337156852493258752,2020-12-10 22:06:51,"Today I am announcing the Senate swearing in day for the 117th Congress will be Sunday, January 3rd at 12:00 pm.",""Senate Swearing In Day"",
JoeBiden,1348299813163474944,2021-01-10 16:05:00,"In 10 days, we move forward and rebuild — together.","""Unity""",
JoeBiden,1347665885666938886,2021-01-08 22:06:00,".@GabbyGiffords — Your perseverance and immeasurable courage continue to inspire me and millions of others. I pledge to continue to work with you — and with survivors, families, and advocates across the country — to defeat the NRA and end our epidemic of gun violence. https://t.co/zN5J5YjXUM","""Acknowledgement"" ""Gun Control""",
JoeBiden,1347366160807981056,2021-01-08 2:15:00,"For the past four years, President Trump has unleashed an all-out assault on the institutions of our democracy.

Yesterday was but the culmination of that unrelenting attack. https://t.co/Mcli7mzENu","""Criticism"" ""President Trump""",
JoeBiden,1337143047990099969,2020-12-10 21:12:00,We must prepare to meet the challenges of the future — not keep fighting the wars of the past. https://t.co/MI4uXHUyKG,""Preparation"",
KamalaHarris,1345382170962100226,2021-01-02 14:51:20,"Do your part to protect your neighbors this new year—wear a mask, continue to wash your hands, and practice social distancing. Better days are ahead but it will require all of us to step up.",""Call to Action" "COVID-19"",
senatemajldr,1337594714615390209,2020-12-12 3:06:45,"Thanks to the genius of science, the historic success of Operation Warp Speed, and the bold action of the Trump Administration, this should mark the beginning of the end of this terrible chapter. 

What an announcement. https://t.co/MgQyeXLCss","Operation Warp Speed",
JoeBiden,1341907693477490689,2020-12-24 0:45:00,We need to make sure every child in this nation has access to a good education — regardless of zip code or disability. https://t.co/YGp4rB1IjA,"Education",
senatemajldr,1331945811043905536,2020-11-26 13:00:02,"We are blessed to live in the greatest country the world has ever known. Even in a trying year unlike anything we’ve seen before, we are constantly reminded why. Happy Thanksgiving, everyone. https://t.co/TkQfXbq5F2","Holiday",
senatemajldr,1309169766528057347,2020-09-24 16:36:10,"My full statement on Breonna Taylor, yesterday’s announcement, and the violence overnight in my hometown of Louisville: https://t.co/NN70M9oun8","Breonna Taylor",
JoeBiden,1348351402624524288,2021-01-10 19:30:00,"I am proud that we have finished naming the members of our Cabinet.

It’s a Cabinet that looks like America and taps into the full range of talents we have in our nation. https://t.co/DTX53k7sUx","""Presidential Cabinet""",
JoeBiden,1343255327622381568,2020-12-27 18:00:01,To all the health care workers on the front lines of this fight — thank you. You are true heroes.,""Gratitude"",
senatemajldr,1326509804479795202,2020-11-11 12:59:17,"Today, we reflect on the heroism of America’s veterans and those currently serving in uniform.

From the Greatest Generation to our 21st-century fighting force, we owe all veterans our gratitude and respect.

Happy Veterans Day. https://t.co/TL2cI46ESm",""Holiday" "Gratitude"",
JoeBiden,1342257498405785600,2020-12-24 23:55:00,We take holiday traditions very seriously in the Biden family. https://t.co/I7L6sGkkHN,"Holiday",
JoeBiden,1337198412727529472,2020-12-11 0:52:00,"Folks, we just added new items to the @BidenInaugural store that I know you won’t want to miss. Head to https://t.co/j1ZK7kyMj6 to stock up today.","Biden Inaugural Merch",
KamalaHarris,1337527330198220803,2020-12-11 22:39:00,"When 1 in 6 renters are behind on rent, we need leaders who will not only help provide relief to all who need it—but help address the affordable housing crisis in America. https://t.co/9j2WGF3EtM","Affordable Housing",
JoeBiden,1346600616408330241,2021-01-05 23:33:00,"Georgia voters: If you’re voting in the county where you’re registered, you’re entitled to ask for a provisional ballot if you’re told you aren’t on the voter rolls. Don’t leave without voting.

If you have questions, call the Voter Protection Hotline: 888-730-5816","Voting",
JoeBiden,1343734732282974208,2020-12-29 1:45:00,"This year, we’ve painfully learned the cost of being unprepared for a pandemic.

If we aren’t investing with our partners around the world, we’re undermining our ability to defeat COVID-19 and leaving ourselves vulnerable to the next deadly epidemic.","COVID-19",
KamalaHarris,1347709496081211393,2021-01-09 0:59:17,We need to provide more immediate relief for working families and businesses—now. https://t.co/609fyxwlBH,"Economic Relief",
KamalaHarris,1338652277972807682,2020-12-15 1:09:08,"As President-elect @JoeBiden said, our democracy gives Americans the right to have their voice heard, have their vote counted, and elect our nation’s leaders.

Over 155 million Americans voted—and the will of the people prevailed.",""Democracy" "Presidential Election"",
KamalaHarris,1347925741829296129,2021-01-09 15:18:34,"Black women turned out this week to help elect @ReverendWarnock and @Ossoff. But we must do more than thank them—@JoeBiden and I are committed to addressing issues that disproportionately affect Black women, including pay disparity and maternal mortality.","Minority Issues",
JoeBiden,1338246066144079873,2020-12-13 22:15:00,"Grassroots donors were the backbone of my campaign. And to thank you for everything you did to win this battle for the soul of the nation, I’ll be holding a Grassroots Donor Thank You call tomorrow night.

I hope you’ll join us. Head to https://t.co/c4wtQjE6hU to RSVP today.",""Grassroots" "Gratitude"",
KamalaHarris,1339282519762604034,2020-12-16 18:53:30,"The Biden-Harris administration will transform our roads and bridges, transit systems, railways, ports, and airports—while powering them with clean energy.

And we'll expand our transportation system to serve communities of every size—urban and rural—all across our country.","Infrastructure",
senatemajldr,1328452760677851142,2020-11-16 21:39:54,"The Trump Administration has made huge strides in the Middle East: taking out terrorist leaders, brokering historic deals, &amp; moving US forces into support roles as Afghans lead the fight for their country.

Premature retreat would put this record at risk. https://t.co/egVaLJSIlS",""Trump Administration" "Middle East"",
JoeBiden,1342184517872791552,2020-12-24 19:05:00,To Linda — and everyone out there who’s hurting or struggling — keep the faith. https://t.co/pXDHmzvYQ8,"Encouragement",
JoeBiden,1341768024806797313,2020-12-23 15:30:00,"This cybersecurity attack happened on Donald Trump’s watch. But rest assured that even if he does not take it seriously, I will. https://t.co/cujska0v7m","Donald Trump",
JoeBiden,1338544654741106693,2020-12-14 18:01:29,"To the families, loved ones, and broken and healing hearts of Sandy Hook, I know. No matter how long it’s been, every time you talk about it, you relive it as though you just heard the news. Eight years later, I know the pain never fully heals. https://t.co/qzeKBestac",""Sandy Hook" "Consolation"",
KamalaHarris,1347651825076465665,2021-01-08 21:10:07,A decade ago today my dear friend @GabbyGiffords was wounded in a horrific attack that took six innocent lives. Since then she’s courageously worked to keep our communities safe from gun violence. @JoeBiden and I join Gabby in this fight: let’s end this epidemic once and for all. https://t.co/JltDR7uxH6,"Gun Control",
senatemajldr,1305909721082331136,2020-09-15 16:41:54,"Today is an historic day for Middle East peace. Landmark agreements formalized at the White House between Israel and the UAE and Bahrain. Thanks to the U.S. and the Trump administration, the winds of change are blowing across toward progress and peace.",""Middle East" "Trump Administration"",
KamalaHarris,1340311930829987842,2020-12-19 15:04:00,"Nearly 3M students nationwide don’t have access to the internet at home—leaving many school districts this year scrambling to find ways to reach students. Pandemic or not, @JoeBiden and I are committed to expanding broadband access to every American.
https://t.co/8suAGrlFPB","Technology",
senatemajldr,1319007920416264195,2020-10-21 20:09:28,Our Constitution forbids disqualifying people from public service due to their religious beliefs. The far left has either forgotten this or just doesn’t care. It only underscores why we need well-informed jurists like Judge Barrett to protect our Constitution &amp; Americans’ rights. https://t.co/9iCPWs3V7P,""Religious Freedom" "Far Left" "Acknowledgement"",
KamalaHarris,1347279867574943745,2021-01-07 20:32:06,"We have witnessed two systems of justice: one that let extremists storm the U.S. Capitol yesterday, and another that released tear gas on peaceful protestors last summer. It’s simply unacceptable.",""Denouncement" "Capitol Insurrection"",
senatemajldr,1308157376734863360,2020-09-21 21:33:17,"Justice Ruth Bader Ginsburg was a generational legal giant and a trailblazing champion for American women. The Senate is grieving with the nation, praying for her family, and remembering her historic legacy.

My full Senate floor remarks: https://t.co/mfVTHURqIw",""Ruth Bader Ginsburg" "Mourning"",
JoeBiden,1337564324022239233,2020-12-12 1:06:00,"There are just a few days left of Obamacare's open enrollment for 2021 coverage. Don't wait — visit https://t.co/3CYKhORo0h today to find an affordable, quality plan that works for you.",""Health" "Call to Action"",
JoeBiden,1349556594237792256,2021-01-14 3:19:00,"Today, in a bipartisan vote, the House voted to impeach and hold President Trump accountable. Now, the process continues to the Senate—and I hope they’ll deal with their Constitutional responsibilities on impeachment while also working on the other urgent business of this nation.","""Trump Impeachment""",













