Tweeter,Tweet ID,Tweet Time,Tweet Text,Topics
senatemajldr,1321121679582629894,2020-10-27 16:08:48,"ICYMI: I joined @ShannonBream to discuss confirming Justice Barrett to the Supreme Court, Democrats’ continued threats to pack the courts, and Speaker Pelosi continuing to block COVID-19 relief. https://t.co/NCA7FsTxzQ","supreme court, democrats, economic relief, covid-19"
KamalaHarris,1339009382147878912,2020-12-16 0:48:08,".@PeteButtigieg is a problem solver and trailblazing public servant. He’s committed to bringing people together and upgrading our transportation system in a way that’s safe, sustainable, and equitable. He gets it. And is ready to do the work. 
https://t.co/FuLiYz0dYU","unity, infrastructure"
senatemajldr,1304102357668712450,2020-09-10 17:00:05,"Yesterday, reporters asked Sen. Schumer whether by refusing to compromise, he was making the perfect the enemy of the good. His response? “Republicans are the enemy of the good.”

Americans are not enemies. COVID-19 is our enemy. It's time for Washington Democrats to act like it.","democrats, republicans, covid-19, criticism"
JoeBiden,1347287643776667648,2021-01-07 21:03:00,Merrick Garland will serve as the Attorney General of the United States — not as my personal lawyer.,presidential cabinet
JoeBiden,1341575504617345024,2020-12-23 2:45:00,"Yesterday, in an effort to instill confidence in the vaccine, I had my shot administered in public. 
 
I have absolute confidence in the vaccine and look forward to the second shot. https://t.co/5jeBLMY4z2","covid-19, vaccine"
JoeBiden,1341170334909816833,2020-12-21 23:55:00,"I know you're probably tired of hearing about politics after this year. But with just 15 days left until the Georgia Senate runoffs, we can't take our foot off the gas.

Every dollar makes a big difference. Chip in to our Flip Georgia Fund today: https://t.co/98pzmqwC7J",senate runoff election
JoeBiden,1338642204810596354,2020-12-15 0:29:07,"It’s official, folks. Tune in as I deliver remarks on today’s electoral college vote certification and the strength and resilience of our democracy. https://t.co/Qp2c92mYUV","voting, democracy"
KamalaHarris,1345875065355829249,2021-01-03 23:29:55,"Congratulations to fellow Californian, @SpeakerPelosi, for being reelected as Speaker of the House. I look forward to working together on behalf of the American people to move our nation forward and build a brighter future for generations to come.",congratulations
senatemajldr,1342455058382786564,2020-12-25 13:00:02,"Even in a dark winter, Christmas brings light. I am grateful for our healthcare heroes, the servicemembers who keep us safe, the modern miracle of safe and effective vaccines, and the blessing of our Savior's birth.
 
I wish your family a healthy and Merry Christmas. https://t.co/CMMZlkbdYw","christmas, healthcare, vaccine"
JoeBiden,1342490030787407872,2020-12-25 15:19:00,"From our family to yours, Merry Christmas and Happy Holidays. https://t.co/NzVEFFfrG1",christmas
KamalaHarris,1347208648397881344,2021-01-07 15:49:06,"Fidelity to the rule of law forms the bedrock of our democracy.

In the face of both the damage that has been done to our Justice Department and our country’s long-overdue reckoning on racial injustice, these are the right leaders to meet this moment. 
https://t.co/19zMzNROVr","democracy, department of justice, leadership"
JoeBiden,1342138967865479169,2020-12-24 16:04:00,"No matter how you’re celebrating this year, Champ and Major wish you a Merry Christmas. https://t.co/SrZBT4vmpP",christmas
JoeBiden,1348800612742402048,2021-01-12 1:15:00,"Getting America vaccinated will be one of the greatest operational challenges we’ve ever faced, but my administration will spare no effort to get it done.

We’re going to ensure the vaccine is distributed quickly, equitably, and free of charge to every American.",vaccine
KamalaHarris,1341786918397198336,2020-12-23 16:45:05,The Biden-Harris administration will prioritize investing in our schools so every child in America has the knowledge and skills to thrive. Tune in as we introduce our Secretary of Education nominee. https://t.co/Vwk2kcslyi,"joe biden, education, nomination, presidential cabinet"
JoeBiden,1337198412727529472,2020-12-11 0:52:00,"Folks, we just added new items to the @BidenInaugural store that I know you won’t want to miss. Head to https://t.co/j1ZK7kyMj6 to stock up today.",biden inaugural merch
senatemajldr,1318958973144489989,2020-10-21 16:54:58,"Democrats have said we shouldn’t pass any more relief at all unless Speaker Pelosi gets her whole far-left wish list, including all kinds of non-COVID-related demands. 

Working families in Kentucky and around the country deserve better than this obstruction.","democrats, economic relief, far left"
senatemajldr,1343365527851429888,2020-12-28 1:17:55,I applaud the President’s decision to get billions of dollars of crucial COVID-19 relief out the door and into the hands of American families. I am glad the American people will receive this much-needed assistance as our nation continues battling this pandemic. My full statement: https://t.co/YSPYsPu2ct,"economic relief, covid-19"
KamalaHarris,1344777726507573250,2020-12-31 22:49:29,"As we bring 2020 to a close, @DouglasEmhoff and I wanted to express our gratitude—and our nation’s gratitude—for all of our frontline workers, essential workers, farm workers, and more. Thank you for all the sacrifices you have made this year. It doesn’t go unnoticed.",gratitude
KamalaHarris,1349177374047428608,2021-01-13 2:12:07,"Food banks are strained trying to feed people worried about where they'll get their next meal.

Essential workers continue to risk their own health and their families for us all.

Small business owners from restaurants to barber shops are hurting.

We need $2,000 stimulus checks.","covid-19, economy, economic relief"
KamalaHarris,1339319019850043392,2020-12-16 21:18:32,Don’t let anyone put you in a box because of your gender. https://t.co/yCykclW8cN,"encouragement, minority issues"
